sample_id,disaster_event,selected,reason
hurricane-florence_00000037,hurricane-florence,no,not_selected
hurricane-florence_00000042,hurricane-florence,no,not_selected
hurricane-florence_00000043,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000044,hurricane-florence,no,not_selected
hurricane-florence_00000045,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000048,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000049,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000051,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000053,hurricane-florence,no,not_selected
hurricane-florence_00000054,hurricane-florence,no,not_selected
hurricane-florence_00000055,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000057,hurricane-florence,no,not_selected
hurricane-florence_00000058,hurricane-florence,no,not_selected
hurricane-florence_00000059,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000060,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000061,hurricane-florence,no,not_selected
hurricane-florence_00000062,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000063,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000064,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000065,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000066,hurricane-florence,no,not_selected
hurricane-florence_00000067,hurricane-florence,no,not_selected
hurricane-florence_00000069,hurricane-florence,no,not_selected
hurricane-florence_00000070,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000072,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000073,hurricane-florence,no,not_selected
hurricane-florence_00000075,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000078,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000079,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000080,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000083,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000084,hurricane-florence,no,not_selected
hurricane-florence_00000085,hurricane-florence,no,not_selected
hurricane-florence_00000086,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000088,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000091,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000093,hurricane-florence,no,not_selected
hurricane-florence_00000094,hurricane-florence,no,not_selected
hurricane-florence_00000096,hurricane-florence,no,not_selected
hurricane-florence_00000099,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000100,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000101,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000102,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000103,hurricane-florence,no,not_selected
hurricane-florence_00000104,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000106,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000110,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000111,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000114,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000115,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000118,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000120,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000122,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000123,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000126,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000132,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000136,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000138,hurricane-florence,no,not_selected
hurricane-florence_00000139,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000140,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000142,hurricane-florence,no,not_selected
hurricane-florence_00000144,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000146,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000147,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000148,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000149,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000151,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000153,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000156,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000158,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000159,hurricane-florence,no,not_selected
hurricane-florence_00000163,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000164,hurricane-florence,no,not_selected
hurricane-florence_00000165,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000166,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000168,hurricane-florence,no,not_selected
hurricane-florence_00000174,hurricane-florence,no,not_selected
hurricane-florence_00000178,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000180,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000181,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000183,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000185,hurricane-florence,no,not_selected
hurricane-florence_00000188,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000189,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000190,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000191,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000192,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000193,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000194,hurricane-florence,no,not_selected
hurricane-florence_00000195,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000199,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000203,hurricane-florence,no,not_selected
hurricane-florence_00000210,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000212,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000216,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000217,hurricane-florence,no,not_selected
hurricane-florence_00000218,hurricane-florence,no,not_selected
hurricane-florence_00000219,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000221,hurricane-florence,no,not_selected
hurricane-florence_00000222,hurricane-florence,no,not_selected
hurricane-florence_00000224,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000226,hurricane-florence,no,not_selected
hurricane-florence_00000229,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000231,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000232,hurricane-florence,no,not_selected
hurricane-florence_00000233,hurricane-florence,no,not_selected
hurricane-florence_00000237,hurricane-florence,no,not_selected
hurricane-florence_00000242,hurricane-florence,no,not_selected
hurricane-florence_00000244,hurricane-florence,no,not_selected
hurricane-florence_00000245,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000247,hurricane-florence,no,not_selected
hurricane-florence_00000251,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000252,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000255,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000256,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000259,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000260,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000263,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000264,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000266,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000269,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000272,hurricane-florence,no,not_selected
hurricane-florence_00000273,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000274,hurricane-florence,no,not_selected
hurricane-florence_00000275,hurricane-florence,no,not_selected
hurricane-florence_00000277,hurricane-florence,no,not_selected
hurricane-florence_00000278,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000279,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000282,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000284,hurricane-florence,no,not_selected
hurricane-florence_00000285,hurricane-florence,no,not_selected
hurricane-florence_00000289,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000290,hurricane-florence,no,not_selected
hurricane-florence_00000293,hurricane-florence,no,not_selected
hurricane-florence_00000296,hurricane-florence,no,not_selected
hurricane-florence_00000297,hurricane-florence,no,not_selected
hurricane-florence_00000298,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000300,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000302,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000303,hurricane-florence,no,not_selected
hurricane-florence_00000304,hurricane-florence,no,not_selected
hurricane-florence_00000306,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000308,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000309,hurricane-florence,no,not_selected
hurricane-florence_00000310,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000312,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000313,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000314,hurricane-florence,no,not_selected
hurricane-florence_00000315,hurricane-florence,no,not_selected
hurricane-florence_00000316,hurricane-florence,no,not_selected
hurricane-florence_00000319,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000320,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000324,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000325,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000328,hurricane-florence,no,not_selected
hurricane-florence_00000329,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000330,hurricane-florence,no,not_selected
hurricane-florence_00000331,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000332,hurricane-florence,no,not_selected
hurricane-florence_00000333,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000334,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000335,hurricane-florence,no,not_selected
hurricane-florence_00000336,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000337,hurricane-florence,no,not_selected
hurricane-florence_00000338,hurricane-florence,no,not_selected
hurricane-florence_00000340,hurricane-florence,no,not_selected
hurricane-florence_00000341,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000344,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000345,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000346,hurricane-florence,no,not_selected
hurricane-florence_00000347,hurricane-florence,no,not_selected
hurricane-florence_00000349,hurricane-florence,no,not_selected
hurricane-florence_00000350,hurricane-florence,no,not_selected
hurricane-florence_00000353,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000355,hurricane-florence,no,not_selected
hurricane-florence_00000356,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000357,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000359,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000360,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000361,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000362,hurricane-florence,no,not_selected
hurricane-florence_00000365,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000366,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000368,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000369,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000370,hurricane-florence,no,not_selected
hurricane-florence_00000371,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000372,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000374,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000376,hurricane-florence,no,not_selected
hurricane-florence_00000379,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000380,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000381,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000382,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000387,hurricane-florence,no,not_selected
hurricane-florence_00000388,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000389,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000390,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000392,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000393,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000394,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000395,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000397,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000398,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000399,hurricane-florence,no,not_selected
hurricane-florence_00000401,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000403,hurricane-florence,no,not_selected
hurricane-florence_00000404,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000405,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000406,hurricane-florence,no,not_selected
hurricane-florence_00000407,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000408,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000409,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000410,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000411,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000414,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000416,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000418,hurricane-florence,no,not_selected
hurricane-florence_00000419,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000420,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000423,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000424,hurricane-florence,no,not_selected
hurricane-florence_00000425,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000426,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000427,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000428,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000431,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000433,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000435,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000436,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000437,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000438,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000441,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000442,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000443,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000444,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000445,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000446,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000449,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000450,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000451,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000452,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000453,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000454,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000455,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000457,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000459,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000460,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000461,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000462,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000464,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000467,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000469,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000470,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000472,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000473,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000474,hurricane-florence,no,not_selected
hurricane-florence_00000475,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000476,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000477,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000478,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000481,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000482,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000484,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000485,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000486,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000490,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000492,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000493,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000494,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000496,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000497,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000498,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000500,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000501,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000503,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000504,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000506,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000508,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000510,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000512,hurricane-florence,no,not_selected
hurricane-florence_00000513,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000514,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000515,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000516,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000517,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000522,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000523,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000526,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000527,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000529,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000531,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000533,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000536,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000537,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000538,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000540,hurricane-florence,no,not_selected
hurricane-florence_00000542,hurricane-florence,no,not_selected
hurricane-florence_00000545,hurricane-florence,no,not_selected
hurricane-harvey_00000000,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000001,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000002,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000006,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000007,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000008,hurricane-harvey,no,not_selected
hurricane-harvey_00000009,hurricane-harvey,no,not_selected
hurricane-harvey_00000010,hurricane-harvey,no,not_selected
hurricane-harvey_00000012,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000015,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000016,hurricane-harvey,no,not_selected
hurricane-harvey_00000017,hurricane-harvey,no,not_selected
hurricane-harvey_00000019,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000020,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000022,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000024,hurricane-harvey,no,not_selected
hurricane-harvey_00000025,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000026,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000028,hurricane-harvey,no,not_selected
hurricane-harvey_00000029,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000030,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000035,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000039,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000040,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000041,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000042,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000043,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000045,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000046,hurricane-harvey,no,not_selected
hurricane-harvey_00000047,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000048,hurricane-harvey,no,not_selected
hurricane-harvey_00000049,hurricane-harvey,no,not_selected
hurricane-harvey_00000051,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000052,hurricane-harvey,no,not_selected
hurricane-harvey_00000053,hurricane-harvey,no,not_selected
hurricane-harvey_00000054,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000055,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000056,hurricane-harvey,no,not_selected
hurricane-harvey_00000057,hurricane-harvey,no,not_selected
hurricane-harvey_00000059,hurricane-harvey,no,not_selected
hurricane-harvey_00000060,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000061,hurricane-harvey,no,not_selected
hurricane-harvey_00000066,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000069,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000070,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000071,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000072,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000073,hurricane-harvey,no,not_selected
hurricane-harvey_00000075,hurricane-harvey,no,not_selected
hurricane-harvey_00000076,hurricane-harvey,no,not_selected
hurricane-harvey_00000077,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000079,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000080,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000081,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000082,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000084,hurricane-harvey,no,not_selected
hurricane-harvey_00000085,hurricane-harvey,no,not_selected
hurricane-harvey_00000088,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000089,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000090,hurricane-harvey,no,not_selected
hurricane-harvey_00000091,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000092,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000094,hurricane-harvey,no,not_selected
hurricane-harvey_00000098,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000099,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000100,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000101,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000104,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000107,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000108,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000109,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000111,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000113,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000114,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000115,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000116,hurricane-harvey,no,not_selected
hurricane-harvey_00000118,hurricane-harvey,no,not_selected
hurricane-harvey_00000119,hurricane-harvey,no,not_selected
hurricane-harvey_00000123,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000126,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000128,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000129,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000130,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000132,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000134,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000136,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000137,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000138,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000141,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000142,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000144,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000145,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000146,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000147,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000151,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000152,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000153,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000154,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000156,hurricane-harvey,no,not_selected
hurricane-harvey_00000157,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000158,hurricane-harvey,no,not_selected
hurricane-harvey_00000159,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000160,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000165,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000167,hurricane-harvey,no,not_selected
hurricane-harvey_00000168,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000169,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000170,hurricane-harvey,no,not_selected
hurricane-harvey_00000171,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000172,hurricane-harvey,no,not_selected
hurricane-harvey_00000174,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000176,hurricane-harvey,no,not_selected
hurricane-harvey_00000177,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000178,hurricane-harvey,no,not_selected
hurricane-harvey_00000180,hurricane-harvey,no,not_selected
hurricane-harvey_00000187,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000189,hurricane-harvey,no,not_selected
hurricane-harvey_00000194,hurricane-harvey,no,not_selected
hurricane-harvey_00000195,hurricane-harvey,no,not_selected
hurricane-harvey_00000196,hurricane-harvey,yes,stratified_diverse
hurricane-harvey_00000197,hurricane-harvey,yes,stratified_diverse
