sample_id,disaster_event,problem_type,file_path,description
mexico-earthquake_00000021,mexico-earthquake,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\mexico-earthquake_00000021_pre_disaster.json,Building 45: invalid polygon — Self-intersection[122.941251976438 1024]
mexico-earthquake_00000041,mexico-earthquake,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\mexico-earthquake_00000041_pre_disaster.json,Building 117: invalid polygon — Ring Self-intersection[638.538923512353 1024]
mexico-earthquake_00000048,mexico-earthquake,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\mexico-earthquake_00000048_pre_disaster.json,Building 1007: invalid polygon — Self-intersection[0 584.026902598168]
mexico-earthquake_00000057,mexico-earthquake,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\mexico-earthquake_00000057_pre_disaster.json,Building 237: invalid polygon — Self-intersection[362.902400081207 1024]
mexico-earthquake_00000057,mexico-earthquake,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\mexico-earthquake_00000057_pre_disaster.json,Building 342: invalid polygon — Self-intersection[0 292.014858064999]
mexico-earthquake_00000084,mexico-earthquake,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\mexico-earthquake_00000084_pre_disaster.json,Building 70: invalid polygon — Self-intersection[342.687331145804 623.976566544177]
mexico-earthquake_00000098,mexico-earthquake,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\mexico-earthquake_00000098_pre_disaster.json,Building 25: invalid polygon — Self-intersection[90.1747213326509 1024]
mexico-earthquake_00000100,mexico-earthquake,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\mexico-earthquake_00000100_pre_disaster.json,Building 65: invalid polygon — Self-intersection[741.14404612624 226.546718280601]
mexico-earthquake_00000100,mexico-earthquake,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\mexico-earthquake_00000100_pre_disaster.json,Building 345: invalid polygon — Self-intersection[83.8116538985263 121.027068393364]
mexico-earthquake_00000120,mexico-earthquake,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\mexico-earthquake_00000120_pre_disaster.json,Building 39: invalid polygon — Self-intersection[935.405437108393 792.718227879015]
mexico-earthquake_00000153,mexico-earthquake,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\mexico-earthquake_00000153_pre_disaster.json,Building 173: invalid polygon — Ring Self-intersection[0 838.803497172444]
mexico-earthquake_00000168,mexico-earthquake,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\mexico-earthquake_00000168_pre_disaster.json,Building 19: invalid polygon — Self-intersection[0 432.390756796077]
santa-rosa-wildfire_00000011,santa-rosa-wildfire,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\santa-rosa-wildfire_00000011_pre_disaster.json,Building 22: invalid polygon — Self-intersection[133.869905625762 1024]
santa-rosa-wildfire_00000355,santa-rosa-wildfire,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\santa-rosa-wildfire_00000355_pre_disaster.json,Building 90: invalid polygon — Self-intersection[120.597049676342 569.675769698196]
socal-fire_00001058,socal-fire,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\socal-fire_00001058_pre_disaster.json,Building 37: invalid polygon — Ring Self-intersection[840.687064354637 1024]
socal-fire_00001257,socal-fire,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\socal-fire_00001257_pre_disaster.json,Building 38: invalid polygon — Self-intersection[250.660279959453 681.185312864685]
socal-fire_00001257,socal-fire,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\socal-fire_00001257_pre_disaster.json,Building 49: invalid polygon — Self-intersection[540.405956077122 538.515605300211]
